iter	Passed	Remaining
0	0	67
1	1	62
2	1	60
3	2	55
4	2	56
5	3	57
6	4	56
7	4	55
8	5	54
9	5	53
10	6	53
11	7	52
12	7	51
13	8	50
14	8	50
15	9	50
16	10	49
17	10	49
18	11	48
19	11	47
20	12	46
21	13	46
22	13	45
23	14	44
24	14	44
25	15	43
26	15	43
27	16	42
28	17	41
29	17	41
30	18	40
31	18	40
32	19	39
33	20	38
34	20	38
35	21	37
36	21	37
37	22	36
38	23	35
39	23	35
40	24	34
41	24	33
42	24	33
43	25	32
44	26	31
45	26	31
46	27	30
47	27	30
48	28	29
49	29	29
50	29	28
51	30	27
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	34	23
59	34	23
60	35	22
61	35	21
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	40	18
69	40	17
70	41	16
71	41	16
72	42	15
73	42	15
74	43	14
75	44	13
76	44	13
77	45	12
78	46	12
79	47	11
80	47	11
81	48	10
82	48	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	57	1
97	57	1
98	58	0
99	58	0
